Date,Open,High,Low,Close,Adj Close,Volume
2021-02-26,2029.95,2056.52,2001.01,2021.91,2021.91,2002100
2021-03-01,2048.0,2076.23,2034.42,2069.66,2069.66,1303000
2021-03-02,2064.84,2094.74,2056.67,2064.48,2064.48,1278200
2021-03-03,2051.95,2075.99,1994.0,2011.41,2011.41,1694600
2021-03-04,2014.87,2074.59,2005.43,2033.93,2033.93,2460800
2021-03-05,2061.15,2106.2,2027.78,2097.07,2097.07,2655000
2021-03-08,2084.06,2113.74,2005.19,2007.5,2007.5,1843400
2021-03-09,2049.75,2063.92,2035.6,2040.36,2040.36,1696000
2021-03-10,2061.4,2061.4,2019.33,2036.19,2036.19,1355000
2021-03-11,2058.22,2111.27,2056.45,2100.54,2100.54,1385100
2021-03-12,2076.41,2077.61,2032.42,2050.0,2050.0,1690900
2021-03-15,2044.98,2054.99,2027.79,2054.44,2054.44,1308400
2021-03-16,2065.99,2113.68,2059.29,2083.89,2083.89,1595000
2021-03-17,2068.47,2099.0,2044.12,2082.22,2082.22,1319100
2021-03-18,2048.18,2068.75,2019.18,2021.34,2021.34,1585000
2021-03-19,2029.73,2037.04,2002.93,2026.96,2026.96,2303600
2021-03-22,2027.63,2048.34,2014.0,2030.69,2030.69,1676800
2021-03-23,2039.95,2064.11,2028.0,2041.33,2041.33,1425500
2021-03-24,2051.76,2067.6,2029.0,2032.53,2032.53,1260900
2021-03-25,2029.05,2045.64,1996.09,2032.46,2032.46,1780800
2021-03-26,2031.79,2039.39,2003.85,2024.73,2024.73,1398900
2021-03-29,2022.16,2049.21,2005.45,2045.79,2045.79,1324600
2021-03-30,2052.98,2062.67,2036.15,2046.47,2046.47,1365600
2021-03-31,2054.4,2086.26,2047.0,2062.52,2062.52,2128500
2021-04-01,2092.25,2135.75,2091.43,2129.78,2129.78,1994000
2021-04-05,2147.15,2228.99,2145.21,2218.96,2218.96,2425500
2021-04-06,2210.92,2228.0,2201.79,2209.26,2209.26,1762000
2021-04-07,2213.1,2244.5,2213.1,2239.03,2239.03,1206700
2021-04-08,2264.0,2271.79,2243.01,2250.43,2250.43,1433200
2021-04-09,2245.44,2273.97,2237.26,2270.67,2270.67,1307300
2021-04-12,2254.12,2256.89,2227.82,2244.62,2244.62,1251200
2021-04-13,2250.99,2263.47,2243.05,2254.43,2254.43,1284100
2021-04-14,2267.43,2267.43,2236.02,2241.91,2241.91,1050100
2021-04-15,2261.95,2296.0,2251.17,2285.25,2285.25,1458700
2021-04-16,2289.24,2294.24,2270.92,2282.75,2282.75,1314100
2021-04-19,2270.18,2304.09,2270.18,2289.76,2289.76,1514500
2021-04-20,2297.49,2299.0,2257.12,2279.01,2279.01,1114400
2021-04-21,2272.05,2280.0,2244.82,2278.35,2278.35,1160200
2021-04-22,2275.4,2288.88,2240.32,2252.52,2252.52,1207300
2021-04-23,2267.0,2306.12,2261.25,2299.93,2299.93,1453300
2021-04-26,2304.52,2324.53,2297.32,2309.93,2309.93,1601900
2021-04-27,2317.63,2318.45,2286.16,2290.98,2290.98,2219300
2021-04-28,2392.5,2431.38,2353.22,2359.04,2359.04,4055300
2021-04-29,2389.23,2404.16,2373.85,2392.76,2392.76,2061700
2021-04-30,2368.02,2381.85,2346.56,2353.5,2353.5,2242800
2021-05-03,2364.91,2381.55,2335.5,2343.08,2343.08,1412100
2021-05-04,2313.55,2324.99,2256.68,2306.83,2306.83,2240900
2021-05-05,2328.63,2335.0,2308.28,2314.77,2314.77,1331800
2021-05-06,2306.33,2337.35,2293.04,2337.35,2337.35,1259500
2021-05-07,2363.89,2371.25,2346.16,2351.93,2351.93,1444900
2021-05-10,2328.14,2331.0,2284.54,2291.75,2291.75,1545700
2021-05-11,2243.07,2280.28,2233.92,2270.06,2270.06,1709300
2021-05-12,2226.19,2247.98,2193.62,2200.25,2200.25,2318800
2021-05-13,2226.12,2239.44,2206.72,2229.04,2229.04,1660200
2021-05-14,2258.54,2284.72,2250.0,2278.38,2278.38,1599800
2021-05-17,2263.57,2289.78,2255.51,2288.92,2288.92,1079900
2021-05-18,2302.35,2307.68,2262.19,2262.47,2262.47,1110200
2021-05-19,2228.43,2274.99,2225.44,2271.5,2271.5,1184200
2021-05-20,2291.0,2312.0,2283.52,2306.95,2306.95,1617600
2021-05-21,2317.41,2318.89,2289.3,2294.13,2294.13,2031600
2021-05-24,2314.89,2365.55,2311.96,2361.04,2361.04,1591600
2021-05-25,2372.0,2384.0,2355.0,2362.87,2362.87,1122000
2021-05-26,2366.52,2388.99,2366.46,2380.31,2380.31,1078600
2021-05-27,2389.05,2389.05,2356.26,2362.68,2362.68,1761200
2021-05-28,2374.42,2376.07,2352.85,2356.85,2356.85,1074100
2021-06-01,2374.44,2385.71,2354.28,2381.18,2381.18,1167700
2021-06-02,2389.15,2393.64,2352.36,2370.59,2370.59,1057900
2021-06-03,2345.73,2357.02,2329.52,2347.58,2347.58,934800
2021-06-04,2369.27,2399.03,2362.41,2393.57,2393.57,1222900
2021-06-07,2389.44,2404.51,2381.0,2402.3,2402.3,1206000
2021-06-08,2412.01,2419.52,2394.78,2398.44,2398.44,1212000
2021-06-09,2411.43,2412.88,2396.9,2407.94,2407.94,897100
2021-06-10,2406.92,2436.0,2403.78,2435.13,2435.13,1295200
2021-06-11,2440.0,2441.72,2418.96,2430.2,2430.2,1097900
2021-06-14,2432.26,2448.92,2418.0,2448.91,2448.91,1104900
2021-06-15,2449.0,2455.51,2421.12,2428.39,2428.39,1078100
2021-06-16,2431.44,2437.72,2389.4,2415.45,2415.45,1323600
2021-06-17,2413.95,2450.45,2410.0,2434.87,2434.87,1292100
2021-06-18,2427.34,2432.06,2400.3,2402.22,2402.22,2305800
2021-06-21,2410.01,2440.0,2397.97,2436.25,2436.25,1370700
2021-06-22,2435.0,2448.0,2421.28,2446.61,2446.61,1119500
2021-06-23,2441.87,2461.91,2436.69,2442.54,2442.54,957400
2021-06-24,2454.0,2461.11,2446.0,2450.0,2450.0,1068100
2021-06-25,2440.0,2452.66,2431.3,2450.17,2450.17,1729700
2021-06-28,2453.57,2455.7,2428.11,2450.72,2450.72,1426300
2021-06-29,2453.41,2460.42,2433.82,2445.45,2445.45,1155400
2021-06-30,2439.89,2445.14,2427.09,2441.79,2441.79,1223700
2021-07-01,2434.5,2451.74,2430.63,2448.89,2448.89,905500
2021-07-02,2463.0,2508.08,2461.19,2505.15,2505.15,1299100
2021-07-06,2512.97,2528.56,2491.65,2523.8,2523.8,1320200
2021-07-07,2543.24,2545.68,2523.06,2529.48,2529.48,1203000
2021-07-08,2480.52,2511.91,2480.44,2500.88,2500.88,1189500
2021-07-09,2500.5,2514.69,2491.03,2510.37,2510.37,931600
2021-07-12,2523.56,2541.39,2512.22,2539.51,2539.51,883400
2021-07-13,2540.77,2561.15,2533.49,2546.83,2546.83,962000
2021-07-14,2559.16,2586.53,2558.29,2564.74,2564.74,1187100
2021-07-15,2572.98,2574.0,2530.6,2540.1,2540.1,1210900
2021-07-16,2553.26,2556.23,2523.07,2539.4,2539.4,1021200
